rebalance_id,trade_date,strategy_id,signal_count,rationale_text,pif_exposure_state
S3PBO-R011,2021-02-26,S3 PIF Cash-Aware Base Plus NBIM Overlay,7,cash_weight=0.290916; sector_multipliers=UBER:Technology:1.25|ADP:Technology:1.25|CCL:Consumer Discretionary:1.25|LYV:Communication Services:1.00|SU:Energy:0.75|XLU:Utilities:1.00|NG:Materials:1.00,contracting
S3PBO-R012,2021-05-18,S3 PIF Cash-Aware Base Plus NBIM Overlay,11,cash_weight=0.000000; sector_multipliers=ADP:Technology:1.25|CCL:Consumer Discretionary:1.25|POAI:Financials:0.75|CPNG:Consumer Discretionary:1.25|EA:Communication Services:1.00|LYV:Communication Services:1.00|MPLN:Health Care:1.00|NG:Materials:1.00|XLU:Utilities:1.00|TTWO:Communication Services:1.00|UBER:Technology:1.25,expanding
S3PBO-R013,2021-08-17,S3 PIF Cash-Aware Base Plus NBIM Overlay,11,cash_weight=0.000000; sector_multipliers=ADP:Technology:1.25|CCL:Consumer Discretionary:1.25|POAI:Financials:0.75|CPNG:Consumer Discretionary:1.25|EA:Communication Services:1.00|LYV:Communication Services:1.00|MPLN:Health Care:1.00|NG:Materials:1.00|XLU:Utilities:1.00|TTWO:Communication Services:1.00|UBER:Technology:1.25,stable
S3PBO-R014,2022-03-04,S3 PIF Cash-Aware Base Plus NBIM Overlay,11,cash_weight=0.000000; sector_multipliers=ADP:Technology:1.25|CCL:Consumer Discretionary:1.25|POAI:Financials:0.75|CPNG:Consumer Discretionary:1.25|EA:Communication Services:1.25|LYV:Communication Services:1.25|MPLN:Health Care:1.00|NG:Materials:1.00|XLU:Utilities:1.00|TTWO:Communication Services:1.25|UBER:Technology:1.25,stable
S3PBO-R015,2022-10-12,S3 PIF Cash-Aware Base Plus NBIM Overlay,1,cash_weight=0.000000; sector_multipliers=LIN:Materials:1.00,stable
S3PBO-R016,2022-11-15,S3 PIF Cash-Aware Base Plus NBIM Overlay,1,cash_weight=0.000000; sector_multipliers=LIN:Materials:1.00,stable
S3PBO-R017,2022-12-23,S3 PIF Cash-Aware Base Plus NBIM Overlay,1,cash_weight=0.000000; sector_multipliers=LIN:Materials:1.00,expanding
S3PBO-R018,2023-02-15,S3 PIF Cash-Aware Base Plus NBIM Overlay,1,cash_weight=0.000000; sector_multipliers=LIN:Materials:1.00,stable
S3PBO-R019,2023-03-08,S3 PIF Cash-Aware Base Plus NBIM Overlay,1,cash_weight=0.000000; sector_multipliers=LIN:Materials:1.00,stable
S3PBO-R020,2023-05-16,S3 PIF Cash-Aware Base Plus NBIM Overlay,3,cash_weight=0.000000; sector_multipliers=BE:Industrials:1.00|LIN:Materials:1.00|PDD:Consumer Discretionary:0.75,stable
S3PBO-R021,2023-08-15,S3 PIF Cash-Aware Base Plus NBIM Overlay,3,cash_weight=0.000000; sector_multipliers=BE:Industrials:1.00|LIN:Materials:1.00|PDD:Consumer Discretionary:0.75,stable
S3PBO-R022,2023-11-15,S3 PIF Cash-Aware Base Plus NBIM Overlay,5,cash_weight=-0.000000; sector_multipliers=BE:Industrials:1.00|LIN:Materials:1.00|PDD:Consumer Discretionary:0.75|ADBE:Technology:0.75|ZGN:Consumer Discretionary:0.75,stable
S3PBO-R023,2024-02-15,S3 PIF Cash-Aware Base Plus NBIM Overlay,5,cash_weight=-0.000000; sector_multipliers=BE:Industrials:1.00|LIN:Materials:1.00|PDD:Consumer Discretionary:0.75|ADBE:Technology:0.75|ZGN:Consumer Discretionary:0.75,stable
S3PBO-R024,2024-02-28,S3 PIF Cash-Aware Base Plus NBIM Overlay,5,cash_weight=-0.000000; sector_multipliers=BE:Industrials:1.00|LIN:Materials:1.00|PDD:Consumer Discretionary:1.25|ADBE:Technology:1.25|ZGN:Consumer Discretionary:1.25,stable
S3PBO-R025,2024-05-16,S3 PIF Cash-Aware Base Plus NBIM Overlay,5,cash_weight=0.000000; sector_multipliers=BE:Industrials:1.00|LIN:Materials:1.00|PDD:Consumer Discretionary:1.25|ZGN:Consumer Discretionary:1.25|NU:Financials:0.75,contracting
S3PBO-R026,2024-08-15,S3 PIF Cash-Aware Base Plus NBIM Overlay,5,cash_weight=0.000000; sector_multipliers=BE:Industrials:0.75|LIN:Materials:1.00|PDD:Consumer Discretionary:0.75|ZGN:Consumer Discretionary:0.75|NU:Financials:1.10,contracting
S3PBO-R027,2024-10-01,S3 PIF Cash-Aware Base Plus NBIM Overlay,1,cash_weight=0.862412; sector_multipliers=AMZN:Consumer Discretionary:0.75,contracting
S3PBO-R028,2024-11-15,S3 PIF Cash-Aware Base Plus NBIM Overlay,26,cash_weight=0.000000; sector_multipliers=AMZN:Consumer Discretionary:0.75|APD:Materials:1.00|BABA:Consumer Discretionary:0.75|AVY:Materials:1.00|BLDP:Industrials:0.75|BEIGF:Health Care:1.00|BE:Industrials:0.75|CMI:Industrials:0.75|EA:Communication Services:1.00|ZGN:Consumer Discretionary:0.75|FDX:Industrials:0.75|LIN:Materials:1.00,expanding
S3PBO-R029,2025-02-18,S3 PIF Cash-Aware Base Plus NBIM Overlay,26,cash_weight=-0.000000; sector_multipliers=AMZN:Consumer Discretionary:0.75|APD:Materials:1.00|BABA:Consumer Discretionary:0.75|AVY:Materials:1.00|BLDP:Industrials:0.75|BEIGF:Health Care:1.00|BE:Industrials:0.75|CMI:Industrials:0.75|EA:Communication Services:1.00|ZGN:Consumer Discretionary:0.75|FDX:Industrials:0.75|LIN:Materials:1.00,stable
S3PBO-R030,2025-02-26,S3 PIF Cash-Aware Base Plus NBIM Overlay,26,cash_weight=-0.000000; sector_multipliers=AMZN:Consumer Discretionary:1.25|APD:Materials:1.00|BABA:Consumer Discretionary:1.25|AVY:Materials:1.00|BLDP:Industrials:1.00|BEIGF:Health Care:0.75|BE:Industrials:1.00|CMI:Industrials:1.00|EA:Communication Services:1.00|ZGN:Consumer Discretionary:1.25|FDX:Industrials:1.00|LIN:Materials:1.00,stable
S3PBO-R031,2025-05-16,S3 PIF Cash-Aware Base Plus NBIM Overlay,25,cash_weight=-0.000000; sector_multipliers=AMZN:Consumer Discretionary:1.25|APD:Materials:1.00|BABA:Consumer Discretionary:1.25|AVY:Materials:1.00|BE:Industrials:1.00|CMI:Industrials:1.00|EA:Communication Services:1.00|ZGN:Consumer Discretionary:1.25|FDX:Industrials:1.00|LIN:Materials:1.00|LCID:Consumer Discretionary:1.25|META:Communication Services:1.00,stable
S3PBO-R032,2025-08-13,S3 PIF Cash-Aware Base Plus NBIM Overlay,25,cash_weight=-0.000000; sector_multipliers=AMZN:Consumer Discretionary:0.75|APD:Materials:1.00|BABA:Consumer Discretionary:0.75|AVY:Materials:1.00|BE:Industrials:1.00|CMI:Industrials:1.00|EA:Communication Services:1.00|ZGN:Consumer Discretionary:0.75|FDX:Industrials:1.00|LIN:Materials:1.00|LCID:Consumer Discretionary:0.75|META:Communication Services:1.00,stable
S3PBO-R033,2025-08-15,S3 PIF Cash-Aware Base Plus NBIM Overlay,14,cash_weight=0.068278; sector_multipliers=APD:Materials:1.00|AVY:Materials:1.00|BE:Industrials:1.00|CMI:Industrials:1.00|EA:Communication Services:1.00|LIN:Materials:1.00|LCID:Consumer Discretionary:0.75|PDD:Consumer Discretionary:0.75|PINS:Communication Services:1.00|PLD:Real Estate:1.00|TTWO:Communication Services:1.00|UBER:Technology:1.10,contracting
S3PBO-R034,2025-11-17,S3 PIF Cash-Aware Base Plus NBIM Overlay,5,cash_weight=0.000000; sector_multipliers=EA:Communication Services:1.00|TTWO:Communication Services:1.00|UBER:Technology:1.10|MPLN:Health Care:0.75|LCID:Consumer Discretionary:0.75,contracting
S3PBO-R035,2026-02-18,S3 PIF Cash-Aware Base Plus NBIM Overlay,4,cash_weight=0.061903; sector_multipliers=EA:Communication Services:1.00|UBER:Technology:1.10|MPLN:Health Care:0.75|LCID:Consumer Discretionary:0.75,contracting
S3PBO-R036,2026-03-02,S3 PIF Cash-Aware Base Plus NBIM Overlay,4,cash_weight=0.060580; sector_multipliers=EA:Communication Services:1.00|UBER:Technology:1.25|MPLN:Health Care:1.00|LCID:Consumer Discretionary:1.10,contracting
S3PBO-R037,2026-05-18,S3 PIF Cash-Aware Base Plus NBIM Overlay,4,cash_weight=0.084582; sector_multipliers=EA:Communication Services:1.00|UBER:Technology:1.25|MPLN:Health Care:1.00|LCID:Consumer Discretionary:1.10,stable
