signal_date,effective_trade_date,fund,signal_family,signal_name,signal_direction,signal_strength,target_level,source_snapshot,source_public_date,staleness_days,sector,industry,security_key,confidence_level,notes
2018-02-27,2018-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00000000,0.05571100,2017-12-31,2018-02-27,58,Energy,,,medium,No prior-period NBIM weight-change row for this sector.
2018-02-27,2018-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00000000,0.24349800,2017-12-31,2018-02-27,58,Financials,,,medium,No prior-period NBIM weight-change row for this sector.
2018-02-27,2018-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00000000,0.09755700,2017-12-31,2018-02-27,58,Health Care,,,medium,No prior-period NBIM weight-change row for this sector.
2018-02-27,2018-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00000000,0.14256300,2017-12-31,2018-02-27,58,Industrials,,,medium,No prior-period NBIM weight-change row for this sector.
2018-02-27,2018-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00000000,0.05961700,2017-12-31,2018-02-27,58,Materials,,,medium,No prior-period NBIM weight-change row for this sector.
2018-02-27,2018-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00000000,0.00000000,2017-12-31,2018-02-27,58,Real Estate,,,medium,No prior-period NBIM weight-change row for this sector.
2018-02-27,2018-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00000000,0.11135700,2017-12-31,2018-02-27,58,Technology,,,medium,No prior-period NBIM weight-change row for this sector.
2018-02-27,2018-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00000000,0.02598600,2017-12-31,2018-02-27,58,Utilities,,,medium,No prior-period NBIM weight-change row for this sector.
2019-02-14,2019-02-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.02828600,PIF:2018-12-31|NBIM:2017-12-31,PIF:2019-02-13|NBIM:2018-02-27,,Communication Services,,,low,Cross-fund confirmation condition not satisfied.
2019-02-14,2019-02-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.10071100,PIF:2018-12-31|NBIM:2017-12-31,PIF:2019-02-13|NBIM:2018-02-27,,Consumer Discretionary,,,low,Cross-fund confirmation condition not satisfied.
2019-02-14,2019-02-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.13471200,PIF:2018-12-31|NBIM:2017-12-31,PIF:2019-02-13|NBIM:2018-02-27,,Consumer Staples,,,low,Cross-fund confirmation condition not satisfied.
2019-02-14,2019-02-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.05571100,PIF:2018-12-31|NBIM:2017-12-31,PIF:2019-02-13|NBIM:2018-02-27,,Energy,,,low,Cross-fund confirmation condition not satisfied.
2019-02-14,2019-02-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.24349800,PIF:2018-12-31|NBIM:2017-12-31,PIF:2019-02-13|NBIM:2018-02-27,,Financials,,,low,Cross-fund confirmation condition not satisfied.
2019-02-14,2019-02-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.09755700,PIF:2018-12-31|NBIM:2017-12-31,PIF:2019-02-13|NBIM:2018-02-27,,Health Care,,,low,Cross-fund confirmation condition not satisfied.
2019-02-14,2019-02-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.14256300,PIF:2018-12-31|NBIM:2017-12-31,PIF:2019-02-13|NBIM:2018-02-27,,Industrials,,,low,Cross-fund confirmation condition not satisfied.
2019-02-14,2019-02-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.05961700,PIF:2018-12-31|NBIM:2017-12-31,PIF:2019-02-13|NBIM:2018-02-27,,Materials,,,low,Cross-fund confirmation condition not satisfied.
2019-02-14,2019-02-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.00000000,PIF:2018-12-31|NBIM:2017-12-31,PIF:2019-02-13|NBIM:2018-02-27,,Real Estate,,,low,Cross-fund confirmation condition not satisfied.
2019-02-14,2019-02-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.11135700,PIF:2018-12-31|NBIM:2017-12-31,PIF:2019-02-13|NBIM:2018-02-27,,Technology,,,low,Cross-fund confirmation condition not satisfied.
2019-02-14,2019-02-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.02598600,PIF:2018-12-31|NBIM:2017-12-31,PIF:2019-02-13|NBIM:2018-02-27,,Utilities,,,low,Cross-fund confirmation condition not satisfied.
2019-02-13,2019-02-14,PIF,pif_exposure,visible_sleeve_regime,initial,0.00000000,1,2018-12-31,2019-02-13,44,,,,medium,holding_count=1; flow_score=0; count_change_pct=0.000000
2019-02-13,2019-02-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2018-12-31,2019-02-13,44,Communication Services,,,low,No sector-specific filing delta for this period.
2019-02-13,2019-02-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,1.00000000,2018-12-31,2019-02-13,44,Consumer Discretionary,,,low,No sector-specific filing delta for this period.
2019-02-13,2019-02-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2018-12-31,2019-02-13,44,Consumer Staples,,,low,No sector-specific filing delta for this period.
2019-02-13,2019-02-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2018-12-31,2019-02-13,44,Energy,,,low,No sector-specific filing delta for this period.
2019-02-13,2019-02-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2018-12-31,2019-02-13,44,Financials,,,low,No sector-specific filing delta for this period.
2019-02-13,2019-02-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2018-12-31,2019-02-13,44,Health Care,,,low,No sector-specific filing delta for this period.
2019-02-13,2019-02-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2018-12-31,2019-02-13,44,Industrials,,,low,No sector-specific filing delta for this period.
2019-02-13,2019-02-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2018-12-31,2019-02-13,44,Materials,,,low,No sector-specific filing delta for this period.
2019-02-13,2019-02-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2018-12-31,2019-02-13,44,Real Estate,,,low,No sector-specific filing delta for this period.
2019-02-13,2019-02-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2018-12-31,2019-02-13,44,Technology,,,low,No sector-specific filing delta for this period.
2019-02-13,2019-02-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2018-12-31,2019-02-13,44,Utilities,,,low,No sector-specific filing delta for this period.
2019-02-28,2019-02-28,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.02981400,PIF:2018-12-31|NBIM:2018-12-31,PIF:2019-02-13|NBIM:2019-02-27,,Communication Services,,,low,Cross-fund confirmation condition not satisfied.
2019-02-28,2019-02-28,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.10763600,PIF:2018-12-31|NBIM:2018-12-31,PIF:2019-02-13|NBIM:2019-02-27,,Consumer Discretionary,,,low,Cross-fund confirmation condition not satisfied.
2019-02-28,2019-02-28,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.11932700,PIF:2018-12-31|NBIM:2018-12-31,PIF:2019-02-13|NBIM:2019-02-27,,Consumer Staples,,,low,Cross-fund confirmation condition not satisfied.
2019-02-28,2019-02-28,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.05854500,PIF:2018-12-31|NBIM:2018-12-31,PIF:2019-02-13|NBIM:2019-02-27,,Energy,,,low,Cross-fund confirmation condition not satisfied.
2019-02-28,2019-02-28,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.23711700,PIF:2018-12-31|NBIM:2018-12-31,PIF:2019-02-13|NBIM:2019-02-27,,Financials,,,low,Cross-fund confirmation condition not satisfied.
2019-02-28,2019-02-28,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.11441400,PIF:2018-12-31|NBIM:2018-12-31,PIF:2019-02-13|NBIM:2019-02-27,,Health Care,,,low,Cross-fund confirmation condition not satisfied.
2019-02-28,2019-02-28,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.12936600,PIF:2018-12-31|NBIM:2018-12-31,PIF:2019-02-13|NBIM:2019-02-27,,Industrials,,,low,Cross-fund confirmation condition not satisfied.
2019-02-28,2019-02-28,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.04951700,PIF:2018-12-31|NBIM:2018-12-31,PIF:2019-02-13|NBIM:2019-02-27,,Materials,,,low,Cross-fund confirmation condition not satisfied.
2019-02-28,2019-02-28,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.00000000,PIF:2018-12-31|NBIM:2018-12-31,PIF:2019-02-13|NBIM:2019-02-27,,Real Estate,,,low,Cross-fund confirmation condition not satisfied.
2019-02-28,2019-02-28,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.12591200,PIF:2018-12-31|NBIM:2018-12-31,PIF:2019-02-13|NBIM:2019-02-27,,Technology,,,low,Cross-fund confirmation condition not satisfied.
2019-02-28,2019-02-28,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.02835200,PIF:2018-12-31|NBIM:2018-12-31,PIF:2019-02-13|NBIM:2019-02-27,,Utilities,,,low,Cross-fund confirmation condition not satisfied.
2019-02-27,2019-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.02981400,0.02981400,2018-12-31,2019-02-27,58,Communication Services,,,low,Sector not in current NBIM top-3 weights.
2019-02-27,2019-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.10763600,0.10763600,2018-12-31,2019-02-27,58,Consumer Discretionary,,,low,Sector not in current NBIM top-3 weights.
2019-02-27,2019-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.11932700,0.11932700,2018-12-31,2019-02-27,58,Consumer Staples,,,low,Sector not in current NBIM top-3 weights.
2019-02-27,2019-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.05854500,0.05854500,2018-12-31,2019-02-27,58,Energy,,,low,Sector not in current NBIM top-3 weights.
2019-02-27,2019-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,top3,0.23711700,0.23711700,2018-12-31,2019-02-27,58,Financials,,,high,Sector ranked in current top-3 NBIM weights.
2019-02-27,2019-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.11441400,0.11441400,2018-12-31,2019-02-27,58,Health Care,,,low,Sector not in current NBIM top-3 weights.
2019-02-27,2019-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,top3,0.12936600,0.12936600,2018-12-31,2019-02-27,58,Industrials,,,high,Sector ranked in current top-3 NBIM weights.
2019-02-27,2019-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.04951700,0.04951700,2018-12-31,2019-02-27,58,Materials,,,low,Sector not in current NBIM top-3 weights.
2019-02-27,2019-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.00000000,0.00000000,2018-12-31,2019-02-27,58,Real Estate,,,low,Sector not in current NBIM top-3 weights.
2019-02-27,2019-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,top3,0.12591200,0.12591200,2018-12-31,2019-02-27,58,Technology,,,high,Sector ranked in current top-3 NBIM weights.
2019-02-27,2019-02-28,NBIM,nbim_industry_concentration,top_sector_concentration,not_top3,0.02835200,0.02835200,2018-12-31,2019-02-27,58,Utilities,,,low,Sector not in current NBIM top-3 weights.
2019-02-27,2019-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00152800,0.02981400,2018-12-31,2019-02-27,58,Communication Services,,,medium,weight_change=0.001528; accumulations=67; reductions=37
2019-02-27,2019-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,overweight,0.00692500,0.10763600,2018-12-31,2019-02-27,58,Consumer Discretionary,,,high,weight_change=0.006925; accumulations=490; reductions=422
2019-02-27,2019-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,underweight,0.01538500,0.11932700,2018-12-31,2019-02-27,58,Consumer Staples,,,high,weight_change=-0.015385; accumulations=475; reductions=425
2019-02-27,2019-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00283400,0.05854500,2018-12-31,2019-02-27,58,Energy,,,medium,weight_change=0.002834; accumulations=153; reductions=120
2019-02-27,2019-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,underweight,0.00638100,0.23711700,2018-12-31,2019-02-27,58,Financials,,,high,weight_change=-0.006381; accumulations=850; reductions=533
2019-02-27,2019-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,overweight,0.01685700,0.11441400,2018-12-31,2019-02-27,58,Health Care,,,high,weight_change=0.016857; accumulations=310; reductions=219
2019-02-27,2019-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,underweight,0.01319700,0.12936600,2018-12-31,2019-02-27,58,Industrials,,,high,weight_change=-0.013197; accumulations=738; reductions=708
2019-02-27,2019-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,underweight,0.01010000,0.04951700,2018-12-31,2019-02-27,58,Materials,,,high,weight_change=-0.010100; accumulations=223; reductions=266
2019-02-27,2019-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00000000,0.00000000,2018-12-31,2019-02-27,58,Real Estate,,,medium,No prior-period NBIM weight-change row for this sector.
2019-02-27,2019-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,overweight,0.01455500,0.12591200,2018-12-31,2019-02-27,58,Technology,,,high,weight_change=0.014555; accumulations=312; reductions=247
2019-02-27,2019-02-28,NBIM,nbim_industry_weight_change,sector_weight_change,neutral,0.00236600,0.02835200,2018-12-31,2019-02-27,58,Utilities,,,medium,weight_change=0.002366; accumulations=92; reductions=96
2019-05-14,2019-05-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.02981400,PIF:2019-03-31|NBIM:2018-12-31,PIF:2019-05-13|NBIM:2019-02-27,,Communication Services,,,low,Cross-fund confirmation condition not satisfied.
2019-05-14,2019-05-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.10763600,PIF:2019-03-31|NBIM:2018-12-31,PIF:2019-05-13|NBIM:2019-02-27,,Consumer Discretionary,,,low,Cross-fund confirmation condition not satisfied.
2019-05-14,2019-05-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.11932700,PIF:2019-03-31|NBIM:2018-12-31,PIF:2019-05-13|NBIM:2019-02-27,,Consumer Staples,,,low,Cross-fund confirmation condition not satisfied.
2019-05-14,2019-05-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.05854500,PIF:2019-03-31|NBIM:2018-12-31,PIF:2019-05-13|NBIM:2019-02-27,,Energy,,,low,Cross-fund confirmation condition not satisfied.
2019-05-14,2019-05-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.23711700,PIF:2019-03-31|NBIM:2018-12-31,PIF:2019-05-13|NBIM:2019-02-27,,Financials,,,low,Cross-fund confirmation condition not satisfied.
2019-05-14,2019-05-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.11441400,PIF:2019-03-31|NBIM:2018-12-31,PIF:2019-05-13|NBIM:2019-02-27,,Health Care,,,low,Cross-fund confirmation condition not satisfied.
2019-05-14,2019-05-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.12936600,PIF:2019-03-31|NBIM:2018-12-31,PIF:2019-05-13|NBIM:2019-02-27,,Industrials,,,low,Cross-fund confirmation condition not satisfied.
2019-05-14,2019-05-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.04951700,PIF:2019-03-31|NBIM:2018-12-31,PIF:2019-05-13|NBIM:2019-02-27,,Materials,,,low,Cross-fund confirmation condition not satisfied.
2019-05-14,2019-05-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.00000000,PIF:2019-03-31|NBIM:2018-12-31,PIF:2019-05-13|NBIM:2019-02-27,,Real Estate,,,low,Cross-fund confirmation condition not satisfied.
2019-05-14,2019-05-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.12591200,PIF:2019-03-31|NBIM:2018-12-31,PIF:2019-05-13|NBIM:2019-02-27,,Technology,,,low,Cross-fund confirmation condition not satisfied.
2019-05-14,2019-05-14,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.02835200,PIF:2019-03-31|NBIM:2018-12-31,PIF:2019-05-13|NBIM:2019-02-27,,Utilities,,,low,Cross-fund confirmation condition not satisfied.
2019-05-13,2019-05-14,PIF,pif_exposure,visible_sleeve_regime,stable,0.00000000,1,2019-03-31,2019-05-13,43,,,,medium,holding_count=1; flow_score=0; count_change_pct=0.000000
2019-05-13,2019-05-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-03-31,2019-05-13,43,Communication Services,,,low,No sector-specific filing delta for this period.
2019-05-13,2019-05-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,1.00000000,2019-03-31,2019-05-13,43,Consumer Discretionary,,,low,net_weight_change=0.000000; flow_score=0
2019-05-13,2019-05-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-03-31,2019-05-13,43,Consumer Staples,,,low,No sector-specific filing delta for this period.
2019-05-13,2019-05-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-03-31,2019-05-13,43,Energy,,,low,No sector-specific filing delta for this period.
2019-05-13,2019-05-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-03-31,2019-05-13,43,Financials,,,low,No sector-specific filing delta for this period.
2019-05-13,2019-05-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-03-31,2019-05-13,43,Health Care,,,low,No sector-specific filing delta for this period.
2019-05-13,2019-05-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-03-31,2019-05-13,43,Industrials,,,low,No sector-specific filing delta for this period.
2019-05-13,2019-05-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-03-31,2019-05-13,43,Materials,,,low,No sector-specific filing delta for this period.
2019-05-13,2019-05-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-03-31,2019-05-13,43,Real Estate,,,low,No sector-specific filing delta for this period.
2019-05-13,2019-05-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-03-31,2019-05-13,43,Technology,,,low,No sector-specific filing delta for this period.
2019-05-13,2019-05-14,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-03-31,2019-05-13,43,Utilities,,,low,No sector-specific filing delta for this period.
2019-08-07,2019-08-07,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.02981400,PIF:2019-06-30|NBIM:2018-12-31,PIF:2019-08-06|NBIM:2019-02-27,,Communication Services,,,low,Cross-fund confirmation condition not satisfied.
2019-08-07,2019-08-07,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.10763600,PIF:2019-06-30|NBIM:2018-12-31,PIF:2019-08-06|NBIM:2019-02-27,,Consumer Discretionary,,,low,Cross-fund confirmation condition not satisfied.
2019-08-07,2019-08-07,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.11932700,PIF:2019-06-30|NBIM:2018-12-31,PIF:2019-08-06|NBIM:2019-02-27,,Consumer Staples,,,low,Cross-fund confirmation condition not satisfied.
2019-08-07,2019-08-07,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.05854500,PIF:2019-06-30|NBIM:2018-12-31,PIF:2019-08-06|NBIM:2019-02-27,,Energy,,,low,Cross-fund confirmation condition not satisfied.
2019-08-07,2019-08-07,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.23711700,PIF:2019-06-30|NBIM:2018-12-31,PIF:2019-08-06|NBIM:2019-02-27,,Financials,,,low,Cross-fund confirmation condition not satisfied.
2019-08-07,2019-08-07,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.11441400,PIF:2019-06-30|NBIM:2018-12-31,PIF:2019-08-06|NBIM:2019-02-27,,Health Care,,,low,Cross-fund confirmation condition not satisfied.
2019-08-07,2019-08-07,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.12936600,PIF:2019-06-30|NBIM:2018-12-31,PIF:2019-08-06|NBIM:2019-02-27,,Industrials,,,low,Cross-fund confirmation condition not satisfied.
2019-08-07,2019-08-07,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.04951700,PIF:2019-06-30|NBIM:2018-12-31,PIF:2019-08-06|NBIM:2019-02-27,,Materials,,,low,Cross-fund confirmation condition not satisfied.
2019-08-07,2019-08-07,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.00000000,PIF:2019-06-30|NBIM:2018-12-31,PIF:2019-08-06|NBIM:2019-02-27,,Real Estate,,,low,Cross-fund confirmation condition not satisfied.
2019-08-07,2019-08-07,CROSS_FUND,cross_fund_consensus,sector_confirmation,yes,0.88667641,0.12591200,PIF:2019-06-30|NBIM:2018-12-31,PIF:2019-08-06|NBIM:2019-02-27,,Technology,,,high,PIF positive sector proxy and NBIM overweight/top-3 while PIF is not contracting.
2019-08-07,2019-08-07,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.02835200,PIF:2019-06-30|NBIM:2018-12-31,PIF:2019-08-06|NBIM:2019-02-27,,Utilities,,,low,Cross-fund confirmation condition not satisfied.
2019-08-06,2019-08-07,PIF,pif_exposure,visible_sleeve_regime,expanding,1.00000000,2,2019-06-30,2019-08-06,37,,,,medium,holding_count=2; flow_score=1; count_change_pct=1.000000
2019-08-06,2019-08-07,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-06-30,2019-08-06,37,Communication Services,,,low,No sector-specific filing delta for this period.
2019-08-06,2019-08-07,PIF,pif_sector_proxy,sector_rotation_proxy,negative,0.64620941,0.35379059,2019-06-30,2019-08-06,37,Consumer Discretionary,,,medium,net_weight_change=-0.646209; flow_score=0
2019-08-06,2019-08-07,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-06-30,2019-08-06,37,Consumer Staples,,,low,No sector-specific filing delta for this period.
2019-08-06,2019-08-07,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-06-30,2019-08-06,37,Energy,,,low,No sector-specific filing delta for this period.
2019-08-06,2019-08-07,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-06-30,2019-08-06,37,Financials,,,low,No sector-specific filing delta for this period.
2019-08-06,2019-08-07,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-06-30,2019-08-06,37,Health Care,,,low,No sector-specific filing delta for this period.
2019-08-06,2019-08-07,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-06-30,2019-08-06,37,Industrials,,,low,No sector-specific filing delta for this period.
2019-08-06,2019-08-07,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-06-30,2019-08-06,37,Materials,,,low,No sector-specific filing delta for this period.
2019-08-06,2019-08-07,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-06-30,2019-08-06,37,Real Estate,,,low,No sector-specific filing delta for this period.
2019-08-06,2019-08-07,PIF,pif_sector_proxy,sector_rotation_proxy,positive,0.74620941,0.64620941,2019-06-30,2019-08-06,37,Technology,,,medium,net_weight_change=0.646209; flow_score=1
2019-08-06,2019-08-07,PIF,pif_sector_proxy,sector_rotation_proxy,neutral,0.00000000,0.00000000,2019-06-30,2019-08-06,37,Utilities,,,low,No sector-specific filing delta for this period.
2019-10-22,2019-10-22,CROSS_FUND,cross_fund_consensus,sector_confirmation,no,0.00000000,0.02981400,PIF:2019-09-30|NBIM:2018-12-31,PIF:2019-10-21|NBIM:2019-02-27,,Communication Services,,,low,Cross-fund confirmation condition not satisfied.
