rebalance_id,trade_date,signal_count,positions_bought_count,positions_sold_count,cash_after_rebalance,position_count_end,rationale_text
S4N4F-R001,2019-02-14,0,0,0,1.000000000000,0,N4 sleeve unavailable as of 2019-02-14; remain in cash.
S4N4F-R002,2019-02-28,6,6,0,0.000000000000,6,base_sleeve=N4; sleeve_date=2019-02-28; exposure_state=initial; exposure_weight=1.00
S4N4F-R021,2023-08-15,6,4,2,0.418619089700,6,base_sleeve=N4; sleeve_date=2023-07-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R022,2023-11-15,6,2,4,0.412767063077,6,base_sleeve=N4; sleeve_date=2023-10-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R023,2024-02-15,6,1,5,0.445349047143,6,base_sleeve=N4; sleeve_date=2024-01-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R024,2024-02-28,3,3,6,0.448924834637,3,base_sleeve=N4; sleeve_date=2024-02-28; exposure_state=stable; exposure_weight=0.75
S4N4F-R025,2024-05-16,3,0,3,0.919786346993,3,base_sleeve=N4; sleeve_date=2024-04-30; exposure_state=contracting; exposure_weight=0.50
S4N4F-R026,2024-08-15,1,1,2,0.939661702544,1,base_sleeve=N4; sleeve_date=2024-08-15; exposure_state=contracting; exposure_weight=0.50
S4N4F-R027,2024-10-01,1,0,1,0.939701866352,1,base_sleeve=N4; sleeve_date=2024-09-30; exposure_state=contracting; exposure_weight=0.50
S4N4F-R028,2024-11-15,1,1,0,0.000000000000,1,base_sleeve=N4; sleeve_date=2024-10-31; exposure_state=expanding; exposure_weight=1.00
S4N4F-R029,2025-02-18,1,0,1,0.508683295212,1,base_sleeve=N4; sleeve_date=2025-01-31; exposure_state=stable; exposure_weight=0.75
S4N4F-R030,2025-02-26,4,3,1,0.491101198485,4,base_sleeve=N4; sleeve_date=2025-02-26; exposure_state=stable; exposure_weight=0.75
S4N4F-R031,2025-05-16,4,2,2,0.498526145064,4,base_sleeve=N4; sleeve_date=2025-04-30; exposure_state=stable; exposure_weight=0.75
S4N4F-R032,2025-08-13,5,4,2,0.535367898742,5,base_sleeve=N4; sleeve_date=2025-08-13; exposure_state=stable; exposure_weight=0.75
S4N4F-R033,2025-08-15,5,0,5,1.064532287720,5,base_sleeve=N4; sleeve_date=2025-08-13; exposure_state=contracting; exposure_weight=0.50
S4N4F-R034,2025-11-17,5,3,2,1.063371780447,5,base_sleeve=N4; sleeve_date=2025-10-31; exposure_state=contracting; exposure_weight=0.50
S4N4F-R035,2026-02-18,5,1,4,1.093128684643,5,base_sleeve=N4; sleeve_date=2026-01-30; exposure_state=contracting; exposure_weight=0.50
S4N4F-R036,2026-03-02,5,4,3,1.088767540390,5,base_sleeve=N4; sleeve_date=2026-03-02; exposure_state=contracting; exposure_weight=0.50
S4N4F-R037,2026-05-18,5,5,0,0.585983434282,5,base_sleeve=N4; sleeve_date=2026-04-30; exposure_state=stable; exposure_weight=0.75
