cusip,selected_symbol,issuer_name,pif_sector,pif_industry,sector_source,confidence,notes
136385101,CNQ,CANADIAN NAT RES LTD,ENERGY,OIL & GAS E&P,manual_symbol_review,high,
143658300,CCL,CARNIVAL CORP,CONSUMER CYCLICAL,TRAVEL SERVICES,manual_symbol_review,high,
17275R102,CSCO,CISCO SYS INC,TECHNOLOGY,COMMUNICATION EQUIPMENT,manual_symbol_review,high,
172967424,C,CITIGROUP INC,FINANCIAL SERVICES,BANKS - DIVERSIFIED,manual_symbol_review,high,
204833206,POAI,COMPUTE HEALTH ACQUISITIN CO,FINANCIAL SERVICES,SHELL COMPANIES,manual_spac_review,medium,SPAC style vehicle; classified as financial shell for sector aggregation.
22160K105,COST,COSTCO WHSL CORP NEW,CONSUMER DEFENSIVE,DISCOUNT STORES,manual_symbol_review,high,
22266T109,CPNG,COUPANG INC,CONSUMER CYCLICAL,INTERNET RETAIL,manual_symbol_review,high,
231021106,CMI,CUMMINS INC,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,manual_symbol_review,high,
23804L103,DDOG,DATADOG INC,TECHNOLOGY,SOFTWARE - APPLICATION,manual_symbol_review,high,
254687106,DIS,DISNEY WALT CO,COMMUNICATION SERVICES,ENTERTAINMENT,manual_symbol_review,high,
25809K105,DASH,DOORDASH INC,CONSUMER CYCLICAL,INTERNET RETAIL,manual_symbol_review,high,
285512109,EA,ELECTRONIC ARTS INC,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,alpha_vantage_overview,high,Alpha Vantage overview checked.
30303M102,META,FACEBOOK INC,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,manual_symbol_review,high,Used for both Facebook and Meta naming.
30744W107,FTCHQ,FARFETCH LTD,CONSUMER CYCLICAL,INTERNET RETAIL,manual_issuer_review,medium,Delisted ecommerce platform.
31428X106,FDX,FEDEX CORP,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,manual_symbol_review,high,
35671D857,FCX,FREEPORT-MCMORAN INC,BASIC MATERIALS,COPPER,manual_symbol_review,high,
437076102,HD,HOME DEPOT INC,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,manual_symbol_review,high,
44951Y102,,HYZON MOTORS INC,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,manual_issuer_review,low,Low-confidence mapping for delisted hydrogen commercial vehicle issuer.
459200101,IBM,INTERNATIONAL BUSINESS MACHS,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,manual_symbol_review,high,
46625H100,JPM,JPMORGAN CHASE & CO,FINANCIAL SERVICES,BANKS - DIVERSIFIED,manual_symbol_review,high,
48214T305,JTKWY,JUST EAT TAKEAWAY COM N V,CONSUMER CYCLICAL,INTERNET RETAIL,manual_issuer_review,medium,
538034109,LYV,LIVE NATION ENTERTAINMENT IN,COMMUNICATION SERVICES,ENTERTAINMENT,manual_symbol_review,high,
549498103,LCID,LUCID GROUP INC,CONSUMER CYCLICAL,AUTO MANUFACTURERS,manual_symbol_review,high,
549498202,LCID,LUCID GROUP INC,CONSUMER CYCLICAL,AUTO MANUFACTURERS,manual_symbol_review,high,Second Lucid share line mapped to same business sector.
571903202,MAR,MARRIOTT INTL INC NEW,CONSUMER CYCLICAL,LODGING,manual_symbol_review,high,
594918104,MSFT,MICROSOFT CORP,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,manual_symbol_review,high,
62548M100,MPLN,MULTIPLAN CORPORATION,HEALTHCARE,HEALTHCARE PLANS,manual_issuer_review,medium,Historical MultiPlan name.
62548M209,MPLN,CLARITEV CORPORATION,HEALTHCARE,HEALTHCARE PLANS,alpha_symbol_continuity,medium,Claritev is MultiPlan successor; retained same sector.
65339F101,NEE,NEXTERA ENERGY INC,UTILITIES,UTILITIES - REGULATED ELECTRIC,alpha_vantage_overview,high,Alpha Vantage overview checked.
66987E206,NG,NOVAGOLD RES INC,BASIC MATERIALS,GOLD,manual_symbol_review,high,
70450Y103,PYPL,PAYPAL HLDGS INC,FINANCIAL SERVICES,CREDIT SERVICES,alpha_vantage_overview,high,Alpha Vantage overview checked.
717081103,PFE,PFIZER INC,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,manual_symbol_review,high,
722304102,PDD,PDD HOLDINGS INC,CONSUMER CYCLICAL,INTERNET RETAIL,alpha_vantage_overview,high,Alpha Vantage overview checked.
72352L106,PINS,PINTEREST INC,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,manual_symbol_review,high,
72919P202,PLUG,PLUG POWER INC,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,manual_symbol_review,high,
74340W103,PLD,PROLOGIS INC.,REAL ESTATE,REIT - INDUSTRIAL,manual_symbol_review,high,
747525103,QCOM,QUALCOMM INC,TECHNOLOGY,SEMICONDUCTORS,manual_symbol_review,high,
780259206,SHEL,ROYAL DUTCH SHELL PLC,ENERGY,OIL & GAS INTEGRATED,manual_symbol_review,high,Historical Shell naming carried into current symbol map.
79466L302,CRM,SALESFORCE INC,TECHNOLOGY,SOFTWARE - APPLICATION,manual_symbol_review,high,
81141R100,SE,SEA LTD,CONSUMER CYCLICAL,INTERNET RETAIL,alpha_vantage_overview,high,Alpha Vantage overview checked.
81369Y860,XLRE,SELECT SECTOR SPDR TR,REAL ESTATE,SECTOR ETF - REAL ESTATE,manual_etf_review,high,Proxy ETF holding.
81369Y886,XLU,SELECT SECTOR SPDR TR,UTILITIES,SECTOR ETF - UTILITIES,manual_etf_review,high,Proxy ETF holding.
82509L107,SHOP,SHOPIFY INC,TECHNOLOGY,SOFTWARE - APPLICATION,alpha_vantage_overview,high,Alpha Vantage overview checked.
855244109,SBUX,STARBUCKS CORP,CONSUMER CYCLICAL,RESTAURANTS,manual_symbol_review,high,
867224107,SU,SUNCOR ENERGY INC NEW,ENERGY,OIL & GAS INTEGRATED,manual_symbol_review,high,
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,alpha_vantage_overview,high,Alpha Vantage overview checked.
88160R101,TSLA,TESLA INC,CONSUMER CYCLICAL,AUTO MANUFACTURERS,manual_symbol_review,high,
89151E109,TTE,TOTAL S.A.,ENERGY,OIL & GAS INTEGRATED,manual_symbol_review,high,
90353T100,UBER,UBER TECHNOLOGIES INC,TECHNOLOGY,SOFTWARE - APPLICATION,alpha_vantage_overview,high,Alpha Vantage overview checked.
907818108,UNP,UNION PAC CORP,INDUSTRIALS,RAILROADS,manual_symbol_review,high,
92826C839,V,VISA INC,FINANCIAL SERVICES,CREDIT SERVICES,manual_symbol_review,high,
931142103,WMT,WALMART INC,CONSUMER DEFENSIVE,DISCOUNT STORES,manual_symbol_review,high,
98980L101,ZM,ZOOM VIDEO COMMUNICATIONS IN,TECHNOLOGY,SOFTWARE - APPLICATION,manual_symbol_review,high,
G07031100,BBLNF,BABYLON HLDGS LTD,HEALTHCARE,HEALTH INFORMATION SERVICES,manual_issuer_review,medium,
G07031209,BBLNF,BABYLON HLDGS LTD,HEALTHCARE,HEALTH INFORMATION SERVICES,manual_issuer_review,medium,Second Babylon line mapped to same business sector.
G5494J103,LIN,LINDE PLC,BASIC MATERIALS,SPECIALTY CHEMICALS,manual_symbol_review,high,
G54950103,LIN,LINDE PLC,BASIC MATERIALS,SPECIALTY CHEMICALS,manual_symbol_review,high,Historical Linde line mapped to same business sector.
G6683N103,NU,NU HLDGS LTD,FINANCIAL SERVICES,BANKS - REGIONAL,alpha_vantage_overview,high,Alpha Vantage overview checked.
N30577105,ZGN,ERMENEGILDO ZEGNA N V,CONSUMER CYCLICAL,LUXURY GOODS,manual_issuer_review,medium,
N80029106,SSUNF,SIGNA SPORTS UNITED NV,CONSUMER CYCLICAL,INTERNET RETAIL,manual_issuer_review,medium,
